Editing e Produzione di video;1049
UX Design;1049
Uso di strumenti tecnici;1150
Uso di strumenti tecnici;1153
Arte e Design Skills;1224
Linguaggi di programmazione;1224
AI;1250
Uso di strumenti tecnici;1250
AI;1258
Problem Solving;1258
Uso di strumenti tecnici;1278
Conoscenza lingue straniere;1333
Contabilit�;1333
Gestione delle persone;1354
Leadership;1354
Capacit� di scrittura;1663
Team working;1663
Arte e Design Skills;1774
Project Management;1774
Problem Solving;2173
Capacit� di scrittura;2173
Uso di strumenti tecnici;2176
UX Design;2176
AI;2214
Linguaggi di programmazione;2214
Mobile App;2214
Capacit� analitiche;3185
Capacit� di scrittura;3185
Contabilit�;3185
Project Management;3370
Social Media Strategist;3370
Capacit� analitiche;3482
Ragionamento analitico;3482
Contabilit�;3694
Problem Solving;3694
Ragionamento analitico;3969
Team working;3969
Leadership;4089
Social Media Strategist;4089
Team working;4089
Mobile App;4089
Problem Solving;4226
Team working;4226
Uso di strumenti tecnici;4516
Uso di strumenti tecnici;4562
Analisi e interpretazione dei dati;4566
Ragionamento analitico;4566
Contabilit�;4566
Uso di strumenti tecnici;4574
UX Design;4712
Ragionamento analitico;4712
Arte e Design Skills;4712
Project Management;4741
Uso di strumenti tecnici;4741
Contabilit�;4911
Ragionamento analitico;4911
Capacit� analitiche;4934
Analisi e interpretazione dei dati;4934
Project Management;4934
Ragionamento analitico;4934
Uso di strumenti tecnici;5002
Cloud Computing;5048
Team working;5048
Capacit� analitiche;5263
Project Management;5263
Uso di strumenti tecnici;6259
Contabilit�;6517
Leadership;6517
Analisi e interpretazione dei dati;6540
Social Media Strategist;6540
Contabilit�;6607
Gestione delle persone;6607
Project Management;6607
Capacit� analitiche;6721
Conoscenza lingue straniere;6721
Team working;6721
Analisi e interpretazione dei dati;7035
Social Media Strategist;7035
Leadership;7148
Team working;7148
Project Management;7548
Uso di strumenti tecnici;7548
AI;7589
Cloud Computing;7589
Editing e Produzione di video;7862
Linguaggi di programmazione;7862
Leadership;7862
Problem Solving;8135
Uso di strumenti tecnici;8135
Uso di strumenti tecnici;8167
Capacit� di scrittura;8239
Conoscenza lingue straniere;8239
Capacit� analitiche;8476
Gestione delle persone;8476
Capacit� analitiche;8692
Arte e Design Skills;8925
Editing e Produzione di video;8925
UX Design;8925
UX Design;9723
Arte e Design Skills;9723
Analisi e interpretazione dei dati;9812
Ragionamento analitico;9812
Social Media Strategist;9812
